,benchmark_rets,returns
2012-10-11,-0.009362868234756738,0.0
2012-10-12,0.0009220839096357736,0.0
2012-10-15,-0.004260709350529579,0.0
2012-10-16,0.0012721174973979732,0.0
2012-10-17,0.001270501270501212,0.0
2012-10-18,0.015457376860076089,0.0
2012-10-19,-0.0017039645575371853,0.0
2012-10-22,0.0037551206190258313,0.0
2012-10-23,-0.01258360730075958,0.0
2012-10-24,-0.00172215843857626,0.0
2012-10-25,-0.007245543415756228,0.0
2012-10-26,-0.018883225208526366,0.0
2012-10-29,-0.005313496280552554,0.0
2012-10-30,0.0017806267806266263,0.0
2012-10-31,0.006635857329067463,0.0
2012-11-01,-0.009722063364977607,0.017976522593320166
2012-11-12,-0.02009702009702008,0.0
2012-11-13,-0.017562470532767605,0.0
2012-11-14,0.004919016196760717,0.0
2012-11-15,-0.013252148997134672,0.0
2012-11-16,-0.007259528130671544,0.0
2012-11-19,-0.0013406459475928667,0.0
2012-11-02,0.06065413717354162,0.0019299428804455676
2012-11-20,-0.06144287193648601,0.0
2012-11-21,0.013607944097094427,0.011645829042224554
2012-11-22,-0.007619738751814209,-0.005599057973766142
2012-11-23,0.006825106642291301,0.005118712672427694
2012-11-26,-0.008110398256869544,-0.006111173863813102
2012-11-27,-0.011227727605565008,-0.010760312401588035
2012-11-28,-0.010120957788200435,-0.002786985833849398
2012-11-29,-0.0059850374064838174,0.0
2012-11-30,0.011164074259909729,0.0
2012-11-05,0.07592110160029764,-0.0024077817193699502
2012-11-06,-0.004266113224950963,-0.0038617489996380927
2012-11-07,-0.002200092635479378,-0.0004845899898635597
2012-11-08,-0.018103748404317166,-0.006497914622523471
2012-11-09,-0.002127408107788553,0.0
2012-12-10,0.013146985668601285,0.008965810674156138
2012-12-11,-0.0056114098667290335,-0.002962046410725505
2012-12-12,0.003879614389842523,0.0007919285673896326
2012-12-13,-0.010774095327321653,0.0
2012-12-14,0.04995856517106656,0.0
2012-12-17,0.0046228436125832495,0.0
2012-12-18,0.0008978675645343603,0.0
2012-12-19,0.0012334604171337915,0.0
2012-12-20,0.005487736588643655,0.0
2012-12-21,-0.0054577856983738515,0.0
2012-12-24,0.00380781722477308,0.0
2012-12-25,0.028115586299230166,0.02985686546463251
2012-12-26,0.004015192620727026,0.0031424230523844354
2012-12-27,-0.005188067444876765,-0.0022375565452914525
2012-12-28,0.014232942199043919,0.014352476367302192
2012-12-03,-0.14879485806106052,0.0
2012-12-31,0.19519254971054623,0.015475903487667253
2012-12-04,-0.15436453616931656,0.009876246023329704
2012-12-05,0.03561200348648974,0.03465246153760537
2012-12-06,-0.001803534928459749,-0.0010149056142854107
2012-12-07,0.019152011563478677,0.019810765535729358
2013-01-10,0.09043040293040283,0.0
2013-01-11,-0.018580726432920525,0.0
2013-01-14,0.037865012300780876,0.0
2013-01-15,0.0069050809028134985,0.0
2013-01-16,-0.007164790174002067,0.0
2013-01-17,-0.009381443298969061,0.0
2013-01-18,0.016651056301384193,0.0
2013-01-21,0.005937148121609281,0.0
2013-01-22,-0.005291543706115731,0.0
2013-01-23,0.004092071611253134,0.0019705729166665797
2013-01-24,-0.00957717778909839,-0.0064976126471610884
2013-01-25,-0.004217673078901307,-0.00019960408803831875
2013-01-28,0.030888429752066182,0.0
2013-01-29,0.008818518889668114,0.0
2013-01-30,0.004768054037946001,0.0027529312526359817
2013-01-31,-0.0007909045971331574,0.0029442355065381065
2013-01-04,-0.0596616206589492,0.002612579990667774
2013-01-07,0.004419191919191823,0.001302886101175904
2013-01-08,-0.004085480829666865,-0.0039035723933115163
2013-01-09,0.0002103713053538403,-0.0019357476010855024
2013-10-10,-0.017562309391103148,-0.008816134230933415
2013-10-11,0.016056518946692355,0.016010189596223023
2013-10-14,0.001580278128950674,0.0
2013-10-15,-0.001998527400862482,-0.0008754390326749517
2013-10-16,-0.018760539629005035,-0.017086018905022704
2013-10-17,-0.0034371643394200957,-0.005348623264371799
2013-10-18,0.005281310627290425,0.0002527370888991687
2013-10-21,0.01854830063257218,0.0
2013-10-22,-0.010210526315789448,0.0
2013-10-23,-0.011166648941827173,0.0
2013-10-24,-0.007420950742094923,0.0
2013-10-25,-0.013219200346733184,0.0
2013-10-28,-0.0010980564401009696,0.0
2013-10-29,0.0025283060349565734,0.0
2013-10-30,0.014802631578947345,0.012239152464301961
2013-10-31,-0.0140464613722312,-0.009556004374283722
2013-10-08,0.028931506849315003,0.0237541798463623
2013-10-09,0.004686335072957792,0.0013241712453566645
2013-11-01,-0.028198876285381202,0.004134943988967521
2013-11-11,-0.028908039707646993,0.0
2013-11-12,0.010334756234553932,0.0
2013-11-13,-0.022237046920169035,0.0
2013-11-14,0.007163975437798564,0.0
2013-11-15,0.019984193293440145,0.0
2013-11-18,0.032986495461589715,0.0
2013-11-19,-0.00696528075439351,0.0
2013-11-20,0.005287579583468149,0.0
2013-11-21,-0.006118505796479212,0.0
2013-11-22,-0.004968139107894953,0.0
2013-11-25,-0.004016064257028162,0.0
2013-11-26,-0.000544899738448068,0.0
2013-11-27,0.011231054410642205,0.0
2013-11-28,0.010459348716842731,0.0
2013-11-29,-0.0003201365916124521,0.0
2013-11-04,-0.023270708795900874,-0.002745277756222242
2013-11-05,0.001420765027322357,-0.0038672744437071582
2013-11-06,-0.012659609298264818,0.0
2013-11-07,-0.005526693931689919,0.0
2013-11-08,-0.014004668222740935,0.0
2013-12-10,0.06211250140908575,0.0
2013-12-11,-0.016450859690087083,0.0
2013-12-12,-0.001294917449012556,0.0
2013-12-13,-0.0010804970286332205,0.0
